,ann_vol%,skew,exkurt,acf_15m,acf_60m
AUDJPY,7.9,-0.52,6.0,0.01,0.04
AUDNZD,5.6,-1.62,17.6,-0.025,0.045
AUDUSD,9.4,-0.02,5.5,-0.003,0.036
EURCHF,4.0,0.28,17.0,-0.019,-0.085
EURGBP,4.0,-0.42,7.4,-0.047,0.027
EURJPY,4.8,-1.06,9.5,-0.059,0.016
EURUSD,5.8,0.38,10.8,-0.028,0.02
GBPUSD,7.1,0.31,6.3,-0.035,0.021
NZDUSD,10.1,0.59,10.1,-0.018,0.042
UKOILUSD,57.5,1.28,11.6,0.023,0.005
USDCAD,4.5,-0.03,5.8,-0.083,0.004
USDCHF,7.2,0.17,7.9,-0.003,0.003
USDCNH,2.6,-0.29,4.4,-0.012,0.05
USDJPY,4.3,-1.44,18.2,-0.13,-0.019
USOILUSD,64.9,0.88,7.2,0.037,0.03
XAGUSD,65.2,-0.27,8.4,-0.049,0.043
XAUCNH,26.2,0.06,5.0,-0.073,0.012
XAUGCNH,26.2,0.06,5.0,-0.073,0.012
XAUHKD,27.3,0.1,5.2,-0.066,0.02
XAUKUSD,29.0,0.02,4.9,-0.062,0.086
XAUUSD,27.3,0.11,5.3,-0.066,0.02
